policy,spread_edge,spread_stddev,kelly_growth_at_1,kelly_growth_stddev_at_1,kelly_exposure_rounds_at_1,mean_gross_wager_over_bankroll_at_1,max_gross_wager_over_bankroll_at_1,mean_abs_fX_at_1,max_abs_fX_at_1,child_output
basic,0.0117210978,5.517913228916874,1.000010302751682,6.4468982265200335e-06,1000000000,0.0021296567590332995,0.4010031857142858,0.001978094019757035,0.39703647281553395,/home/neria/Desktop/BlackjaclCpp/checkpoints/performance-suites/h17c03_5b_hilo_bias_continuous/bj3-2/wizard_edge_d6/basic
illustrious18,0.0152210159,5.606585177049549,1.0000145991482705,6.383141683730328e-06,1000000000,0.00218525092162834,0.5186222333333333,0.00203116320416043,0.5186222333333336,/home/neria/Desktop/BlackjaclCpp/checkpoints/performance-suites/h17c03_5b_hilo_bias_continuous/bj3-2/wizard_edge_d6/illustrious18
full_deviations,0.0158373984,5.622153310692767,1.0000152355083327,6.556242972829538e-06,1000000000,0.002198882458524057,0.5186222333333333,0.0020425967583580073,0.5186222333333336,/home/neria/Desktop/BlackjaclCpp/checkpoints/performance-suites/h17c03_5b_hilo_bias_continuous/bj3-2/wizard_edge_d6/full_deviations
