kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,1.0000615192706273,7.0862694332186927e-06,1000000000,0.0028693165353263906,0.45469885517241376,0.0026672023847632408,0.41514049999999997,5.9688047065077938e-07,0.025451965011574484
0.55000000000000004,1.0000652609342848,7.8626658319698921e-06,1000000000,0.0031563511298052004,0.47520867428571434,0.0029338043279606998,0.47520867428571434,7.9341002368816645e-07,0.026502421649755969
0.59999999999999998,1.0000677683149297,8.6898599177883206e-06,1000000000,0.0034436091366366727,0.50355231999999983,0.0032010856538546009,0.50355231999999983,1.0282315376529867e-06,0.041056127025283051
0.65000000000000002,1.0000702919821745,9.339012294723714e-06,1000000000,0.0037305493202243146,0.57071196000000002,0.0034677858650128874,0.54880455259259242,1.3058597378471153e-06,0.039272042848641386
0.69999999999999996,1.0000723950915329,9.9283694400679005e-06,1000000000,0.0040166833085775533,0.62792215111111094,0.0037337754381652007,0.62792215111111094,1.6294914964831765e-06,0.12542229564147556
0.75,1.0000730345411126,1.0362641109676811e-05,1000000000,0.0043037608217957862,0.75601379999999996,0.0040005682398726273,0.75601379999999985,2.0004556527716311e-06,0.092810986847196575
0.80000000000000004,1.0000737764003169,1.1033994922340165e-05,1000000000,0.0045926587235368384,0.76384753777777781,0.0042692783349973914,0.76384753777777781,2.4275697336596033e-06,0.13816480748908044
0.85000000000000009,1.0000748221250368,1.2417820049878846e-05,1000000000,0.0048764855917146372,0.91206564000000001,0.0045330343724882373,0.9120656399999999,2.9033608325305325e-06,0.15205037041816766
0.90000000000000002,1.0000739998879216,1.2569954857340899e-05,1000000000,0.0051647722016237288,0.84871656000000006,0.0048013585140376297,0.79021655999999996,3.4439161308099787e-06,0.16047263493046637
0.94999999999999996,1.0000744063148823,1.3698505721779968e-05,1000000000,0.0054509325948794343,0.97789332387096783,0.0050667609183908061,0.97789332387096772,4.0441802279334808e-06,0.24222254678204802
1,1.0000719691870172,1.4555467159422334e-05,1000000000,0.0057377968191452541,0.96074567272727285,0.005333736187024078,0.8534238054054053,4.7136277802334893e-06,0.19480682771962621
