bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.5,True,6,Any,True,False,True,3,True,2-10,0.2211,-0.0575,0.2411,-0.0746,0.1636,0.1665,0.3301
1.2,False,2,10-11,False,False,True,4,True,2-10,1.9147,-1.748,1.9777,-1.816,0.1668,0.1617,0.3285
1.5,True,6,Any,True,False,True,4,True,2-10,0.2046,-0.0362,0.2246,-0.0647,0.1684,0.1599,0.3283
1.5,False,6,9-11,False,False,True,3,True,2-10,0.6197,-0.4563,0.6397,-0.4749,0.1634,0.1648,0.3282
1.2,True,2,Any,False,False,True,3,True,2-10,1.579,-1.4106,1.642,-1.4833,0.1684,0.1587,0.3271
1.5,False,6,9-11,True,False,False,2,True,2-10,0.528,-0.3636,0.548,-0.3853,0.1644,0.1627,0.3271
1.5,False,6,9-11,True,False,True,4,True,2-10,0.4419,-0.2799,0.4619,-0.2972,0.1621,0.1648,0.32689999999999997
1.2,True,2,Any,False,False,False,2,True,2-10,1.661,-1.4917,1.724,-1.5667,0.1693,0.1573,0.3266
1.5,False,2,10-11,False,False,False,2,True,2-10,0.6178,-0.4522,0.6808,-0.52,0.1656,0.1608,0.3264
1.5,False,6,Any,True,False,True,3,True,2-10,0.3659,-0.1977,0.3859,-0.2279,0.1683,0.158,0.32630000000000003
1.2,True,2,10-11,True,False,False,4,True,2-10,1.6912,-1.5215,1.7542,-1.5979,0.1697,0.1564,0.3261
1.2,False,2,Any,False,False,True,2,True,2-10,1.7848,-1.6177,1.8478,-1.6893,0.1671,0.1585,0.3256
1.2,True,2,9-11,False,False,False,3,True,2-10,1.7353,-1.5655,1.7983,-1.6428,0.1698,0.1556,0.3254
1.5,True,6,10-11,True,False,False,4,True,2-10,0.4585,-0.2926,0.4785,-0.319,0.1659,0.1595,0.3254
1.5,True,6,9-11,True,False,True,2,True,2-10,0.4134,-0.2471,0.4334,-0.275,0.1663,0.1584,0.3247
1.2,True,2,9-11,False,False,False,2,True,2-10,1.7723,-1.6012,1.8353,-1.6817,0.1711,0.1536,0.3247
1.5,False,2,9-11,False,False,False,4,True,2-10,0.4896,-0.3196,0.5526,-0.3979,0.17,0.1547,0.3247
1.5,True,6,9-11,True,False,True,3,True,2-10,0.3249,-0.1591,0.3449,-0.1863,0.1658,0.1586,0.3244
1.2,False,2,10-11,True,False,False,2,True,2-10,1.8368,-1.6694,1.8998,-1.743,0.1674,0.1568,0.3242
1.5,False,6,9-11,True,False,True,2,True,2-10,0.528,-0.3642,0.548,-0.3881,0.1638,0.1599,0.3237
1.2,False,2,Any,False,False,False,2,True,2-10,1.7848,-1.6153,1.8478,-1.694,0.1695,0.1538,0.32330000000000003
1.2,True,2,9-11,True,False,False,2,True,2-10,1.6178,-1.4532,1.6808,-1.5221,0.1646,0.1587,0.32330000000000003
1.2,True,2,10-11,True,False,False,2,True,2-10,1.7317,-1.5696,1.7947,-1.634,0.1621,0.1607,0.3228
1.2,False,2,9-11,True,False,True,2,True,2-10,1.7348,-1.5707,1.7978,-1.6392,0.1641,0.1586,0.3227
1.2,True,2,10-11,True,False,False,3,True,2-10,1.6963,-1.5293,1.7593,-1.6036,0.167,0.1557,0.3227
1.2,True,2,Any,True,False,False,4,True,2-10,1.4551,-1.2886,1.5181,-1.3619,0.1665,0.1562,0.3227
1.2,False,2,10-11,False,False,False,3,True,2-10,1.9684,-1.804,2.0314,-1.8733,0.1645,0.1582,0.3227
1.5,False,2,10-11,True,False,False,3,True,2-10,0.4405,-0.2759,0.5035,-0.3455,0.1646,0.158,0.3226
1.2,True,2,9-11,False,False,True,3,True,2-10,1.6912,-1.528,1.7542,-1.5948,0.1632,0.1594,0.3226
1.2,True,2,9-11,True,False,True,3,True,2-10,1.5438,-1.3808,1.6068,-1.4473,0.163,0.1595,0.3225
1.5,True,2,10-11,False,False,True,2,True,2-10,0.5127,-0.3469,0.5757,-0.4191,0.1658,0.1566,0.3224
1.5,False,6,10-11,True,False,True,4,True,2-10,0.5261,-0.3602,0.5461,-0.3898,0.1659,0.1563,0.3222
