policy,spread_edge,spread_stddev,kelly_growth_at_1,kelly_growth_stddev_at_1,kelly_exposure_rounds_at_1,mean_gross_wager_over_bankroll_at_1,max_gross_wager_over_bankroll_at_1,mean_abs_fX_at_1,max_abs_fX_at_1,child_output
basic,0.0745410079,6.737392716724307,1.000097872982243,1.8714913307348343e-05,1000000000,0.007687376125922041,0.7500000000000001,0.007197903148148689,0.7500000000000002,/home/neria/Desktop/BlackjaclCpp/checkpoints/performance-suites/h17c03_5b_hilo_bias_continuous/bj3-2/fixed_0p5pct_d1/basic
illustrious18,0.0916685484,6.892266953480176,1.0001570577174195,1.9715348253791768e-05,1000000000,0.007968581304484374,0.8714285714285716,0.007446343655325624,0.8714285714285714,/home/neria/Desktop/BlackjaclCpp/checkpoints/performance-suites/h17c03_5b_hilo_bias_continuous/bj3-2/fixed_0p5pct_d1/illustrious18
full_deviations,0.1018719146,7.08681327026191,1.0001789554248548,2.0145506018728497e-05,1000000000,0.008265218524829202,0.9964285714285717,0.007693696682389284,0.9964285714285717,/home/neria/Desktop/BlackjaclCpp/checkpoints/performance-suites/h17c03_5b_hilo_bias_continuous/bj3-2/fixed_0p5pct_d1/full_deviations
