metric,lower_inclusive,upper_exclusive,count,probability
gross_exposure,0,0.001,958384270,0.95838427
gross_exposure,0.001,0.002,4324113,0.004324113
gross_exposure,0.002,0.003,3940301,0.003940301
gross_exposure,0.003,0.004,3442645,0.003442645
gross_exposure,0.004,0.005,3011754,0.003011754
gross_exposure,0.005,0.006,2634017,0.002634017
gross_exposure,0.006,0.007,2794662,0.002794662
gross_exposure,0.007,0.008,2130325,0.002130325
gross_exposure,0.008,0.009,2065212,0.002065212
gross_exposure,0.009,0.01,1760934,0.001760934
gross_exposure,0.01,0.011,1588665,0.001588665
gross_exposure,0.011,0.012,1402799,0.001402799
gross_exposure,0.012,0.013,1415873,0.001415873
gross_exposure,0.013,0.014,1072055,0.001072055
gross_exposure,0.014,0.015,1023202,0.001023202
gross_exposure,0.015,0.016,976792,0.000976792
gross_exposure,0.016,0.017,796498,0.000796498
gross_exposure,0.017,0.018,757701,0.000757701
gross_exposure,0.018,0.019,623055,0.000623055
gross_exposure,0.019,0.02,621112,0.000621112
gross_exposure,0.02,0.021,540726,0.000540726
gross_exposure,0.021,0.022,468707,0.000468707
gross_exposure,0.022,0.023,465699,0.000465699
gross_exposure,0.023,0.024,338723,0.000338723
gross_exposure,0.024,0.025,319775,0.000319775
gross_exposure,0.025,0.026,324726,0.000324726
gross_exposure,0.026,0.027,253711,0.000253711
gross_exposure,0.027,0.028,241038,0.000241038
gross_exposure,0.028,0.029,228858,0.000228858
gross_exposure,0.029,0.03,184888,0.000184888
gross_exposure,0.03,0.031,184026,0.000184026
gross_exposure,0.031,0.032,122694,0.000122694
gross_exposure,0.032,0.033,167695,0.000167695
gross_exposure,0.033,0.034,120777,0.000120777
gross_exposure,0.034,0.035,100119,0.000100119
gross_exposure,0.035,0.036,114321,0.000114321
gross_exposure,0.036,0.037,80376,8.0376e-05
gross_exposure,0.037,0.038,78366,7.8366e-05
gross_exposure,0.038,0.039,79967,7.9967e-05
gross_exposure,0.039,0.04,63324,6.3324e-05
gross_exposure,0.04,0.041,59460,5.946e-05
gross_exposure,0.041,0.042,55141,5.5141e-05
gross_exposure,0.042,0.043,48780,4.878e-05
gross_exposure,0.043,0.044,41701,4.1701e-05
gross_exposure,0.044,0.045,38421,3.8421e-05
gross_exposure,0.045,0.046,47462,4.7462e-05
gross_exposure,0.046,0.047,28019,2.8019e-05
gross_exposure,0.047,0.048,28707,2.8707e-05
gross_exposure,0.048,0.049,28760,2.876e-05
gross_exposure,0.049,0.05,23622,2.3622e-05
gross_exposure,0.05,0.051,22306,2.2306e-05
gross_exposure,0.051,0.052,23071,2.3071e-05
gross_exposure,0.052,0.053,22587,2.2587e-05
gross_exposure,0.053,0.054,14556,1.4556e-05
gross_exposure,0.054,0.055,16769,1.6769e-05
gross_exposure,0.055,0.056,16143,1.6143e-05
gross_exposure,0.056,0.057,14654,1.4654e-05
gross_exposure,0.057,0.058,14386,1.4386e-05
gross_exposure,0.058,0.059,12390,1.239e-05
gross_exposure,0.059,0.06,10842,1.0842e-05
gross_exposure,0.06,0.061,10908,1.0908e-05
gross_exposure,0.061,0.062,11012,1.1012e-05
gross_exposure,0.062,0.063,8963,8.963e-06
gross_exposure,0.063,0.064,5575,5.575e-06
gross_exposure,0.064,0.065,10036,1.0036e-05
gross_exposure,0.065,0.066,9331,9.331e-06
gross_exposure,0.066,0.067,6555,6.555e-06
gross_exposure,0.067,0.068,7150,7.15e-06
gross_exposure,0.068,0.069,6644,6.644e-06
gross_exposure,0.069,0.07,3985,3.985e-06
gross_exposure,0.07,0.071,6203,6.203e-06
gross_exposure,0.071,0.072,6580,6.58e-06
gross_exposure,0.072,0.073,4205,4.205e-06
gross_exposure,0.073,0.074,4359,4.359e-06
gross_exposure,0.074,0.075,4731,4.731e-06
gross_exposure,0.075,0.076,3426,3.426e-06
gross_exposure,0.076,0.077,4341,4.341e-06
gross_exposure,0.077,0.078,3990,3.99e-06
gross_exposure,0.078,0.079,3885,3.885e-06
gross_exposure,0.079,0.08,2832,2.832e-06
gross_exposure,0.08,0.081,3274,3.274e-06
gross_exposure,0.081,0.082,2638,2.638e-06
gross_exposure,0.082,0.083,2943,2.943e-06
gross_exposure,0.083,0.084,2554,2.554e-06
gross_exposure,0.084,0.085,2318,2.318e-06
gross_exposure,0.085,0.086,2583,2.583e-06
gross_exposure,0.086,0.087,2090,2.09e-06
gross_exposure,0.087,0.088,1877,1.877e-06
gross_exposure,0.088,0.089,2091,2.091e-06
gross_exposure,0.089,0.09,1507,1.507e-06
gross_exposure,0.09,0.091,1827,1.827e-06
gross_exposure,0.091,0.092,2494,2.494e-06
gross_exposure,0.092,0.093,946,9.46e-07
gross_exposure,0.093,0.094,1651,1.651e-06
gross_exposure,0.094,0.095,1300,1.3e-06
gross_exposure,0.095,0.096,1282,1.282e-06
gross_exposure,0.096,0.097,1297,1.297e-06
gross_exposure,0.097,0.098,1522,1.522e-06
gross_exposure,0.098,0.099,1010,1.01e-06
gross_exposure,0.099,0.1,1233,1.233e-06
gross_exposure,0.1,0.101,944,9.44e-07
gross_exposure,0.101,0.102,983,9.83e-07
gross_exposure,0.102,0.103,1018,1.018e-06
gross_exposure,0.103,0.104,939,9.39e-07
gross_exposure,0.104,0.105,1110,1.11e-06
gross_exposure,0.105,0.106,798,7.98e-07
gross_exposure,0.106,0.107,605,6.05e-07
gross_exposure,0.107,0.108,708,7.08e-07
gross_exposure,0.108,0.109,648,6.48e-07
gross_exposure,0.109,0.11,702,7.02e-07
gross_exposure,0.11,0.111,668,6.68e-07
gross_exposure,0.111,0.112,702,7.02e-07
gross_exposure,0.112,0.113,666,6.66e-07
gross_exposure,0.113,0.114,588,5.88e-07
gross_exposure,0.114,0.115,412,4.12e-07
gross_exposure,0.115,0.116,756,7.56e-07
gross_exposure,0.116,0.117,438,4.38e-07
gross_exposure,0.117,0.118,518,5.18e-07
gross_exposure,0.118,0.119,505,5.05e-07
gross_exposure,0.119,0.12,295,2.95e-07
gross_exposure,0.12,0.121,538,5.38e-07
gross_exposure,0.121,0.122,305,3.05e-07
gross_exposure,0.122,0.123,406,4.06e-07
gross_exposure,0.123,0.124,435,4.35e-07
gross_exposure,0.124,0.125,214,2.14e-07
gross_exposure,0.125,0.126,526,5.26e-07
gross_exposure,0.126,0.127,219,2.19e-07
gross_exposure,0.127,0.128,120,1.2e-07
gross_exposure,0.128,0.129,590,5.9e-07
gross_exposure,0.129,0.13,140,1.4e-07
gross_exposure,0.13,0.131,521,5.21e-07
gross_exposure,0.131,0.132,124,1.24e-07
gross_exposure,0.132,0.133,273,2.73e-07
gross_exposure,0.133,0.134,186,1.86e-07
gross_exposure,0.134,0.135,160,1.6e-07
gross_exposure,0.135,0.136,345,3.45e-07
gross_exposure,0.136,0.137,93,9.3e-08
gross_exposure,0.137,0.138,276,2.76e-07
gross_exposure,0.138,0.139,152,1.52e-07
gross_exposure,0.139,0.14,175,1.75e-07
gross_exposure,0.14,0.141,172,1.72e-07
gross_exposure,0.141,0.142,197,1.97e-07
gross_exposure,0.142,0.143,213,2.13e-07
gross_exposure,0.143,0.144,179,1.79e-07
gross_exposure,0.144,0.145,131,1.31e-07
gross_exposure,0.145,0.146,150,1.5e-07
gross_exposure,0.146,0.147,126,1.26e-07
gross_exposure,0.147,0.148,139,1.39e-07
gross_exposure,0.148,0.149,165,1.65e-07
gross_exposure,0.149,0.15,128,1.28e-07
gross_exposure,0.15,0.151,31,3.1e-08
gross_exposure,0.151,0.152,172,1.72e-07
gross_exposure,0.152,0.153,121,1.21e-07
gross_exposure,0.153,0.154,93,9.3e-08
gross_exposure,0.154,0.155,154,1.54e-07
gross_exposure,0.155,0.156,107,1.07e-07
gross_exposure,0.156,0.157,75,7.5e-08
gross_exposure,0.157,0.158,140,1.4e-07
gross_exposure,0.158,0.159,89,8.9e-08
gross_exposure,0.159,0.16,62,6.2e-08
gross_exposure,0.16,0.161,91,9.1e-08
gross_exposure,0.161,0.162,116,1.16e-07
gross_exposure,0.162,0.163,46,4.6e-08
gross_exposure,0.163,0.164,36,3.6e-08
gross_exposure,0.164,0.165,134,1.34e-07
gross_exposure,0.165,0.166,48,4.8e-08
gross_exposure,0.166,0.167,40,4e-08
gross_exposure,0.167,0.168,105,1.05e-07
gross_exposure,0.168,0.169,71,7.1e-08
gross_exposure,0.169,0.17,33,3.3e-08
gross_exposure,0.17,0.171,93,9.3e-08
gross_exposure,0.171,0.172,54,5.4e-08
gross_exposure,0.172,0.173,18,1.8e-08
gross_exposure,0.173,0.174,40,4e-08
gross_exposure,0.174,0.175,69,6.9e-08
gross_exposure,0.175,0.176,19,1.9e-08
gross_exposure,0.176,0.177,39,3.9e-08
gross_exposure,0.177,0.178,79,7.9e-08
gross_exposure,0.178,0.179,8,8e-09
gross_exposure,0.179,0.18,6,6e-09
gross_exposure,0.18,0.181,121,1.21e-07
gross_exposure,0.181,0.182,3,3e-09
gross_exposure,0.182,0.183,44,4.4e-08
gross_exposure,0.183,0.184,74,7.4e-08
gross_exposure,0.184,0.185,14,1.4e-08
gross_exposure,0.185,0.186,29,2.9e-08
gross_exposure,0.186,0.187,43,4.3e-08
gross_exposure,0.187,0.188,14,1.4e-08
gross_exposure,0.188,0.189,25,2.5e-08
gross_exposure,0.189,0.19,35,3.5e-08
gross_exposure,0.19,0.191,14,1.4e-08
gross_exposure,0.191,0.192,32,3.2e-08
gross_exposure,0.192,0.193,17,1.7e-08
gross_exposure,0.193,0.194,28,2.8e-08
gross_exposure,0.194,0.195,15,1.5e-08
gross_exposure,0.195,0.196,39,3.9e-08
gross_exposure,0.196,0.197,27,2.7e-08
gross_exposure,0.197,0.198,16,1.6e-08
gross_exposure,0.198,0.199,17,1.7e-08
gross_exposure,0.199,0.2,16,1.6e-08
gross_exposure,0.2,0.201,22,2.2e-08
gross_exposure,0.201,0.202,16,1.6e-08
gross_exposure,0.202,0.203,20,2e-08
gross_exposure,0.203,0.204,18,1.8e-08
gross_exposure,0.204,0.205,12,1.2e-08
gross_exposure,0.205,0.206,5,5e-09
gross_exposure,0.206,0.207,25,2.5e-08
gross_exposure,0.207,0.208,6,6e-09
gross_exposure,0.208,0.209,15,1.5e-08
gross_exposure,0.209,0.21,15,1.5e-08
gross_exposure,0.21,0.211,12,1.2e-08
gross_exposure,0.211,0.212,11,1.1e-08
gross_exposure,0.212,0.213,6,6e-09
gross_exposure,0.213,0.214,9,9e-09
gross_exposure,0.214,0.215,2,2e-09
gross_exposure,0.215,0.216,9,9e-09
gross_exposure,0.216,0.217,1,1e-09
gross_exposure,0.217,0.218,13,1.3e-08
gross_exposure,0.218,0.219,6,6e-09
gross_exposure,0.219,0.22,9,9e-09
gross_exposure,0.22,0.221,6,6e-09
gross_exposure,0.221,0.222,5,5e-09
gross_exposure,0.222,0.223,9,9e-09
gross_exposure,0.223,0.224,3,3e-09
gross_exposure,0.224,0.225,4,4e-09
gross_exposure,0.225,0.226,14,1.4e-08
gross_exposure,0.226,0.227,5,5e-09
gross_exposure,0.227,0.228,2,2e-09
gross_exposure,0.228,0.229,9,9e-09
gross_exposure,0.229,0.23,5,5e-09
gross_exposure,0.23,0.231,2,2e-09
gross_exposure,0.231,0.232,2,2e-09
gross_exposure,0.232,0.233,11,1.1e-08
gross_exposure,0.233,0.234,8,8e-09
gross_exposure,0.234,0.235,2,2e-09
gross_exposure,0.235,0.236,3,3e-09
gross_exposure,0.236,0.237,6,6e-09
gross_exposure,0.237,0.238,7,7e-09
gross_exposure,0.238,0.239,1,1e-09
gross_exposure,0.239,0.24,1,1e-09
gross_exposure,0.24,0.241,2,2e-09
gross_exposure,0.241,0.242,6,6e-09
gross_exposure,0.244,0.245,1,1e-09
gross_exposure,0.245,0.246,6,6e-09
gross_exposure,0.247,0.248,2,2e-09
gross_exposure,0.248,0.249,2,2e-09
gross_exposure,0.249,0.25,5,5e-09
absolute_return,0,0.001,961998016,0.961998016
absolute_return,0.001,0.002,3902773,0.003902773
absolute_return,0.002,0.003,3601498,0.003601498
absolute_return,0.003,0.004,3138111,0.003138111
absolute_return,0.004,0.005,2743532,0.002743532
absolute_return,0.005,0.006,2408389,0.002408389
absolute_return,0.006,0.007,2543961,0.002543961
absolute_return,0.007,0.008,1950112,0.001950112
absolute_return,0.008,0.009,1875236,0.001875236
absolute_return,0.009,0.01,1614387,0.001614387
absolute_return,0.01,0.011,1449280,0.00144928
absolute_return,0.011,0.012,1290308,0.001290308
absolute_return,0.012,0.013,1288379,0.001288379
absolute_return,0.013,0.014,984348,0.000984348
absolute_return,0.014,0.015,933028,0.000933028
absolute_return,0.015,0.016,908392,0.000908392
absolute_return,0.016,0.017,731633,0.000731633
absolute_return,0.017,0.018,694362,0.000694362
absolute_return,0.018,0.019,578142,0.000578142
absolute_return,0.019,0.02,568787,0.000568787
absolute_return,0.02,0.021,495526,0.000495526
absolute_return,0.021,0.022,434062,0.000434062
absolute_return,0.022,0.023,428087,0.000428087
absolute_return,0.023,0.024,314056,0.000314056
absolute_return,0.024,0.025,296687,0.000296687
absolute_return,0.025,0.026,298363,0.000298363
absolute_return,0.026,0.027,238473,0.000238473
absolute_return,0.027,0.028,218484,0.000218484
absolute_return,0.028,0.029,212371,0.000212371
absolute_return,0.029,0.03,173894,0.000173894
absolute_return,0.03,0.031,169394,0.000169394
absolute_return,0.031,0.032,117355,0.000117355
absolute_return,0.032,0.033,151437,0.000151437
absolute_return,0.033,0.034,112611,0.000112611
absolute_return,0.034,0.035,94080,9.408e-05
absolute_return,0.035,0.036,104316,0.000104316
absolute_return,0.036,0.037,75412,7.5412e-05
absolute_return,0.037,0.038,72766,7.2766e-05
absolute_return,0.038,0.039,72207,7.2207e-05
