kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,1.0000426149333903,6.5502084298987396e-06,1000000000,0.0026443619672224293,0.2829545454545454,0.002463171517609435,0.2829545454545454,3.8611704457855388e-07,0.008369218151460911
0.55000000000000004,1.0000447177223977,7.3539877594334026e-06,1000000000,0.0029066931743869776,0.35149074074074077,0.0027073991202943731,0.35149074074074094,5.1277612769793566e-07,0.013507928774111333
0.59999999999999998,1.0000462672178243,7.7543230584036595e-06,1000000000,0.003171708518893574,0.35555172413793096,0.002954349043858133,0.33988235294117664,6.6616466349044172e-07,0.016403690324536258
0.65000000000000002,1.0000472299619536,8.2302965664844209e-06,1000000000,0.0034359997877398663,0.3807631578947368,0.0032005738465371277,0.38076315789473675,8.463514669016764e-07,0.015230088109607187
0.69999999999999996,1.0000477465096502,8.830625845619405e-06,1000000000,0.003700418242554918,0.44350000000000006,0.0034466073964160987,0.44350000000000001,1.0561732128376558e-06,0.023274247159081107
0.75,1.0000481071901206,9.8978273647180138e-06,1000000000,0.0039649020619453466,0.45857142857142857,0.0036931098507909823,0.45857142857142846,1.2984340807197498e-06,0.025481840576055126
0.80000000000000004,1.000048210207048,1.0362443435067952e-05,1000000000,0.0042290598324232201,0.44222222222222218,0.0039392424459779697,0.44222222222222218,1.574302953631866e-06,0.043792174496779079
0.85000000000000009,1.000047320706601,1.1530403860174379e-05,1000000000,0.0044930073701882085,0.46986111111111112,0.0041849692098733706,0.46986111111111095,1.8874041391201089e-06,0.033194056911511061
0.90000000000000002,1.0000465931514326,1.1576835733359184e-05,1000000000,0.0047579659375625999,0.54578571428571432,0.0044318162913892754,0.50092105263157893,2.2413122479319002e-06,0.043365305827037792
0.94999999999999996,1.0000453233139373,1.22222721194961e-05,1000000000,0.0050219713974770748,0.5496428571428571,0.0046781219529378098,0.54409090909090918,2.6340786558891306e-06,0.058460288906755253
1,1.0000427102494145,1.3176163897940174e-05,1000000000,0.0052853113976719761,0.61551724137931019,0.004923040828204662,0.60092592592592586,3.0686697785316087e-06,0.089013723227674757
