kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,1.000044239908644,4.1750670868277802e-06,1000000000,0.0015111655808692135,0.17783119999999999,0.001379880818163765,0.17783120000000022,1.233248227967353e-07,0.0016555490904228976
0.55000000000000004,1.0000475692563429,4.6319854870843148e-06,1000000000,0.0016623965866824225,0.19041253000000008,0.0015179543285991843,0.19041253000000025,1.6382563276814804e-07,0.0020158467054501306
0.59999999999999998,1.0000509417697205,4.6782015525411881e-06,1000000000,0.0018134004365229904,0.24972275999999996,0.0016558722188325836,0.20772276000000017,2.1270671382426845e-07,0.0025881823724586417
0.65000000000000002,1.0000540623426373,5.4674942237110389e-06,1000000000,0.0019643166210838057,0.22503299000000004,0.0017936553523212476,0.22503299000000018,2.6992288409905881e-07,0.0032591744647901821
0.69999999999999996,1.0000569658964256,5.937542720534761e-06,1000000000,0.0021162294933949537,0.24234322000000005,0.001932376486015459,0.24234322000000016,3.3686772396424004e-07,0.0041290183479569531
0.75,1.0000599627268323,6.0393814915202655e-06,1000000000,0.0022667079769691342,0.25965345000000006,0.0020697534930929889,0.25965345000000034,4.131895919183967e-07,0.0048931504989480068
0.80000000000000004,1.0000628075389713,6.341223396363074e-06,1000000000,0.0024178826064813834,0.2769636800000001,0.0022078233131620881,0.2769636800000001,5.0157465321722112e-07,0.0063461292240888367
0.85000000000000009,1.0000647868192452,6.7766004013307584e-06,1000000000,0.0025688557167162624,0.30231304000000009,0.0023455654026351106,0.30231304000000014,5.9954291492353216e-07,0.007726888485834138
0.90000000000000002,1.0000672972887403,7.5954370916622063e-06,1000000000,0.0027202123621095694,0.31158414000000012,0.0024838733433574334,0.31158414000000023,7.1233011543601658e-07,0.0081938719637655311
0.94999999999999996,1.0000694985068492,7.62145504705318e-06,1000000000,0.0028703220003011092,0.32889437000000005,0.0026210024315624436,0.3288943700000001,8.3640997185525098e-07,0.011124727366211895
1,1.0000717262689671,8.1031987713076971e-06,1000000000,0.0030227911573514239,0.34620460000000003,0.0027601399113808666,0.34620460000000014,9.746093504418632e-07,0.013182252641404324
