kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,1.000001825488495,1.3632184067193372e-06,1000000000,0.0002161719979242247,0.16424404545454546,0.00019705038689336716,0.16424404545454549,1.0923035661706053e-08,0.0013159961559569833
0.55000000000000004,1.0000019614430113,1.5177083781294332e-06,1000000000,0.00023763555635324766,0.17768476000000002,0.00021663963959885478,0.1776817696296297,1.4504366264985342e-08,0.0016515401066911628
0.59999999999999998,1.000001961777788,1.6664222685922481e-06,1000000000,0.00025952348880464802,0.19702239724137929,0.00023659348324248748,0.18227910222222213,1.8868308994592403e-08,0.0017777515330985039
0.65000000000000002,1.0000020379409764,1.8008898890884352e-06,1000000000,0.00028095171289643268,0.24946995465116281,0.00025610774211961705,0.2494699546511629,2.394368719101471e-08,0.0043670995919978806
0.69999999999999996,1.0000019307311576,1.956446899672412e-06,1000000000,0.00030218145925448145,0.25237365176470589,0.00027543354704780826,0.25237365176470605,2.9737516855659954e-08,0.0045132503417272263
0.75,1.0000020664456948,2.0104087823109282e-06,1000000000,0.00032363875098139779,0.23845210714285711,0.00029498650087104674,0.238452107142857,3.6629581393378691e-08,0.0055204049945045131
0.80000000000000004,1.0000019539296192,2.1656034049319769e-06,1000000000,0.00034600403718583532,0.26073348682926828,0.00031536670900767741,0.25906232470588231,4.4606529119907925e-08,0.0048615765127390242
0.85000000000000009,1.0000020235322211,2.4747313296559019e-06,1000000000,0.00036775267864095354,0.27702932975609756,0.00033522500493636271,0.27702932975609734,5.3491593055700436e-08,0.0058798395056113006
0.90000000000000002,1.0000018390540131,2.4867502263961083e-06,1000000000,0.0003888271149794975,0.30245687999999993,0.00035437305742064458,0.30245688000000009,6.3425383977069763e-08,0.0075355906608319811
0.94999999999999996,1.0000017813618665,2.6329654930539858e-06,1000000000,0.00041034241233806312,0.39333086395348837,0.00037405806718456848,0.3933308639534886,7.4596331869951711e-08,0.015720905900509841
1,1.0000017588284689,2.8024089376570834e-06,1000000000,0.00043217688871975566,0.4234439333333333,0.00039394228257580172,0.4234439333333333,8.6779080564636661e-08,0.019287689476654435
