kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,1.0000007286486112,1.4539465802342651e-06,1000000000,0.0002423625362153205,0.15619197831325299,0.00022112495552245039,0.15316450000000004,1.0664709983209061e-08,0.0012187105531666076
0.55000000000000004,1.0000005546323112,1.6122760872191126e-06,1000000000,0.00026673143561767087,0.18941053860759494,0.00024333406837089865,0.18941053860759471,1.4174268187918934e-08,0.0019854761515351593
0.59999999999999998,1.0000004308992692,1.7479797880201579e-06,1000000000,0.00029109706404185188,0.22298857647058826,0.00026553759598611537,0.19876276235294105,1.8406432363597077e-08,0.0022805490390843675
0.65000000000000002,1.0000004882959828,1.9292391448966028e-06,1000000000,0.00031568291083690239,0.2127398751807229,0.00028803891123259921,0.21273987518072279,2.3509549897852153e-08,0.0027714115285266128
0.69999999999999996,1.0000001887444996,2.0488723600612105e-06,1000000000,0.00033957696937998743,0.26816937402298857,0.00030983021035783828,0.26816937402298852,2.9199226070517847e-08,0.0053624553814521358
0.75,1.0000001162503911,2.2352157448259949e-06,1000000000,0.00036384312669565595,0.2405459129629629,0.00033198769439955235,0.22420697727272718,3.5913068764800925e-08,0.0045281560638843199
0.80000000000000004,0.99999996370938105,2.3148991899719758e-06,1000000000,0.00038854167962162997,0.24480847999999999,0.00035448939496257565,0.2415452277551019,4.3646100385062327e-08,0.0039835760006498022
0.85000000000000009,0.99999988898249581,2.4700594374211715e-06,1000000000,0.00041256182185276394,0.26606715000000003,0.00037644421041599699,0.26606715000000014,5.2285652536259342e-08,0.0052440775441672527
0.90000000000000002,0.99999971537076626,2.5813942703834291e-06,1000000000,0.0004360460048400821,0.31570600965517231,0.00039780967851405782,0.2980524811764706,6.1910053741101945e-08,0.011426515317403518
0.94999999999999996,0.99999932465967811,2.6863855794725145e-06,1000000000,0.00046109107731340167,0.38321664227848096,0.00042075461069888276,0.31934720189873406,7.3092833100605089e-08,0.0087811860364858663
1,0.99999909551143706,2.8041545443786191e-06,1000000000,0.0004848430010056277,0.32522171111111109,0.00044235819409303825,0.31159261176470598,8.4881280359201369e-08,0.010618108010990723
