kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,0.99948232046644614,2.653909009880427e-05,1000000000,0.017589490545473964,0.61255530000000002,0.016101010349179851,0.59505530000000029,1.3949917515172198e-05,0.10421997225758861
0.55000000000000004,0.99939153598319208,2.8490311461714763e-05,1000000000,0.019350784948426986,0.70406952,0.017713016301805204,0.70406951999999989,1.8577656717933745e-05,0.14608618873073254
0.59999999999999998,0.9992948447837765,3.1403494861767772e-05,1000000000,0.021114608777345445,0.72007584000000002,0.01932729898478942,0.72007584000000013,2.4132740089398408e-05,0.16586329887355555
0.65000000000000002,0.99919205837213199,3.5567200658889583e-05,1000000000,0.02286862843789671,0.80608215999999999,0.020933737872002617,0.80608215999999988,3.0707159903741136e-05,0.30910132058643081
0.69999999999999996,0.99907846711700166,3.6445844762355182e-05,1000000000,0.024626802919366263,0.90657742000000008,0.022543210069043532,0.90657742000000008,3.8352091058218313e-05,0.32307081992678377
0.75,0.99896316927527928,3.9839216412049972e-05,1000000000,0.026387028807559016,1.0500948000000001,0.024154195800761339,1.0500948000000003,4.7198138748826811e-05,0.52292679385459273
0.80000000000000004,0.99883384494663408,4.277819150877744e-05,1000000000,0.028152607528000553,0.98407584000000003,0.025770497881488424,0.98407584000000003,5.7350098674292924e-05,0.78074659962523141
0.85000000000000009,0.99770430859139048,0.031581796971990476,1000000000,0.029907788538537802,1.0115940099999998,0.027377019245687122,1.01159401,6.8817859081228886e-05,1.2077633449538305
0.90000000000000002,0.99756472627314263,0.03157738222445982,1000000000,0.031665441353003039,1.1880853199999999,0.028985922760876713,1.1655995400000003,8.177873328213254e-05,5.498765222313688
0.94999999999999996,0.99741781605836788,0.03157273339227068,1000000000,0.033424817859787688,1.1971050699999999,0.030597280360258602,1.1971050699999997,9.6329882296069326e-05,2.9565949728274297
1,0.99826443157267863,5.3511764165787055e-05,1000000000,0.03517961742501844,1.3301105999999998,0.032202568795208462,1.1901106000000001,0.00011245603195624377,3.1344567507196595
