blackjack_payout,decks,max_total_wager_fraction,wizard_bias,kelly_growth_at_1,kelly_growth_at_1_stddev,empirical_optimum_multiplier,empirical_optimum_growth,mean_total_wager_fraction,max_total_wager_fraction_observed,mean_abs_fx,max_abs_fx,exact_mean_log_increment,quadratic_mean_log_increment,results_file
"1.2","1","0.1","-0.0155422",0.9999035200699251,0.000013713384720685142,0.5,1.000031123441312,0.004731409958916483,0.1546298857142857,0.004329058983268384,0.15462988571428557,-0.00009648467851634044,-0.00009654928308725287,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d1/max_wager_0p1/results.json"
"1.2","1","0.25","-0.0155422",1.0000317085928625,0.000015026473943918584,0.65,1.0000660155276677,0.004952696089443445,0.2498312000000001,0.004500231503836702,0.27254937083013847,0.00003170797737776337,0.000030832993868838735,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d1/max_wager_0p25/results.json"
"1.2","1","0.5","-0.0155422",1.0000673491328973,0.000015447371146450087,0.75,1.0000752650832607,0.004985932076852952,0.4993734,0.004537127344037402,0.4978712666666669,0.00006734674587157406,0.00006525478505863898,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d1/max_wager_0p5/results.json"
"1.2","1","0.75,","-0.0155422",1.0000694630122793,0.00001545755265561932,0.75,1.0000754269933203,0.0049881204236894,0.7495617272727273,0.004540035113880332,0.7495617272727273,0.00006946048050170824,0.00006707724312480665,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d1/max_wager_0p75,/results.json"
"1.2","1","1.0","-0.0155422",1.000069547235173,0.000015459113350121622,0.75,1.0000754318029448,0.004988248529579667,0.9987467999999998,0.004540189513464133,0.9987467999999998,0.0000695446975209969,0.00006712722668966371,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d1/max_wager_1p0/results.json"
"1.2","2","0.1","-0.0183038",0.9999803419336876,0.00000791848752772721,0.5,1.0000148695395294,0.0022062340145681107,0.10000000000000002,0.002008153356315651,0.12000000476837172,-0.000019658290855913722,-0.000019715258807853126,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d2/max_wager_0p1/results.json"
"1.2","2","0.25","-0.0183038",1.000016125235005,0.000008414932062223363,0.7,1.0000219469767073,0.0022551064727100146,0.2496092490566038,0.0020503003272314122,0.2495434206896556,0.000016125069624134084,0.000015844013022176564,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d2/max_wager_0p25/results.json"
"1.2","2","0.5","-0.0183038",1.0000200943923203,0.000008505218479332501,0.7,1.0000223413839702,0.002258391192814527,0.4994596068965518,0.0020542721675165174,0.4994596068965519,0.000020094154297506186,0.000019683391845418,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d2/max_wager_0p5/results.json"
"1.2","2","0.75,","-0.0183038",1.0000201295903703,0.00000852180700119338,0.7,1.0000223432926092,0.0022584429966345824,0.7456610709677419,0.0020543295711560484,0.7269995185185186,0.000020129351500096885,0.000019712434708185644,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d2/max_wager_0p75,/results.json"
"1.2","2","1.0","-0.0183038",1.0000201288866901,0.000008521867094207335,0.7,1.0000223432926092,0.002258443501529216,0.8723994222222224,0.0020543289089481973,0.7568438666666667,0.000020128647833282127,0.000019711799009742214,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d2/max_wager_1p0/results.json"
"1.2","6","0.1","-0.0199842",1.0000005116553496,0.0000028129674698520512,0.55,1.0000019132033173,0.0004311906396016095,0.1,0.00039289132709585765,0.10157993964618006,5.116512655237395E-7,5.023374235798701E-7,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d6/max_wager_0p1/results.json"
"1.2","6","0.25","-0.0199842",1.000001754387301,0.0000028035051432682876,0.75,1.0000020664456948,0.000432174190266639,0.24981929756097565,0.00039393831840571004,0.2491771240506331,0.0000017543818347638455,0.0000017391107039059405,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d6/max_wager_0p25/results.json"
"1.2","6","0.5","-0.0199842",1.0000017588284689,0.0000028024089376570834,0.75,1.0000020664456948,0.00043217688871975566,0.4234439333333333,0.0003939422825758017,0.4234439333333333,0.0000017588229987236581,0.0000017434311636877833,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d6/max_wager_0p5/results.json"
"1.2","6","0.75,","-0.0199842",1.0000017588284689,0.0000028024089376570834,0.75,1.0000020664456948,0.00043217688871975566,0.4234439333333333,0.0003939422825758017,0.4234439333333333,0.0000017588229987236581,0.0000017434311636877833,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d6/max_wager_0p75,/results.json"
"1.2","6","1.0","-0.0199842",1.0000017588284689,0.0000028024089376570834,0.75,1.0000020664456948,0.00043217688871975566,0.4234439333333333,0.0003939422825758017,0.4234439333333333,0.0000017588229987236581,0.0000017434311636877833,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj6-5/d6/max_wager_1p0/results.json"
"1.5","1","0.1","-0.0015945",0.9998938440519091,0.000019267030880099568,0.5,1.0000898885407887,0.009111952777949225,0.5000000000000001,0.008553197353330244,0.45631321428571453,-0.00010616176849448777,-0.00010693522389963973,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d1/max_wager_0p1/results.json"
"1.5","1","0.25","-0.0015945",1.0001060201795826,0.00002118983674544094,0.65,1.00015868859122,0.009559591490491138,0.24883850000000005,0.008893084643899044,0.36160825,0.00010601433560857884,0.00010396795503612726,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d1/max_wager_0p25/results.json"
"1.5","1","0.5","-0.0015945",1.0001728028739585,0.00002191539020722837,0.8500000000000001,1.0001815287302842,0.009627780763603253,0.4999223823529413,0.008964263990830066,0.4999223823529414,0.00017278770544261043,0.00016866208395939334,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d1/max_wager_0p5/results.json"
"1.5","1","0.75,","-0.0015945",1.0001781085210086,0.00002185154610229652,0.8500000000000001,1.0001829283164678,0.009633033999249748,0.7446590789473686,0.008971227526111866,0.744659078947369,0.00017809242314593144,0.000173323601306292,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d1/max_wager_0p75,/results.json"
"1.5","1","1.0","-0.0015945",1.0001783049095838,0.000021846459997310164,0.8500000000000001,1.0001829570327812,0.00963336331876253,0.9999496111111114,0.008971624448595832,0.9999496111111112,0.000178288776842651,0.00017344493491563772,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d1/max_wager_1p0/results.json"
"1.5","2","0.1","-0.0045688",0.9999838131831718,0.000013482750858524156,0.5,1.0000498116279408,0.005604764017835487,0.10000000000000002,0.00522067815976419,0.15000000000000016,-0.000016187038638900777,-0.000016501032458247387,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d2/max_wager_0p1/results.json"
"1.5","2","0.25","-0.0045688",1.000060950216043,0.000014182243400260507,0.75,1.000070858114369,0.005735993388889942,0.24992053333333336,0.005329570640211801,0.2577896571428571,0.00006094825819896437,0.0000601704606980158,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d2/max_wager_0p25/results.json"
"1.5","2","0.5","-0.0045688",1.0000717683982232,0.000014188143944972516,0.8500000000000001,1.0000744110117719,0.005745268439557266,0.49715600000000015,0.005340485233000079,0.49715600000000043,0.00007176572245743745,0.00007065143360338101,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d2/max_wager_0p5/results.json"
"1.5","2","0.75,","-0.0045688",1.0000719197992183,0.000014191568424540666,0.95,1.0000744594902102,0.005745463601862145,0.7480184000000002,0.005340720178359549,0.7475263703703703,0.0000719171125284671,0.00007077971938000796,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d2/max_wager_0p75,/results.json"
"1.5","2","1.0","-0.0045688",1.000071919828439,0.000014189900397214277,0.95,1.000074459081488,0.005745466433013934,0.9548094222222222,0.005340719372018793,0.8392538666666666,0.00007191714177033359,0.00007077931152287973,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d2/max_wager_1p0/results.json"
"1.5","6","0.1","-0.0063873",1.0000079828946928,0.0000065516415943216785,0.65,1.0000138237684348,0.002191521200640134,0.1,0.0020354023011095864,0.1483937335443038,0.000007982841390878081,0.000007922090784721949,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d6/max_wager_0p1/results.json"
"1.5","6","0.25","-0.0063873",1.0000151734667864,0.000006553699591203218,0.75,1.0000155940399629,0.002198848189142599,0.24999121084337347,0.002042552116334853,0.2499912108433737,0.00001517333021619197,0.000015076758130110943,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d6/max_wager_0p25/results.json"
"1.5","6","0.5","-0.0063873",1.000015235458315,0.000006556251651623438,0.75,1.0000155957133519,0.002198882384435166,0.44453334285714285,0.002042596684269117,0.4445333428571429,0.000015235320787135503,0.000015137474766724357,"paper_materials/performance-suites/h17c03_5b_hilo_bias_continuous/wizard_edge_wager_caps/bj3-2/d6/max_wager_0p5/results.json"
