kelly_multiplier,growth_mean,growth_stddev,exposure_rounds,gross_exposure_mean,gross_exposure_max,absolute_return_mean,absolute_return_max,mean_abs_taylor_error,max_abs_taylor_error
0.5,1.0000566024932269,6.8114657054710904e-06,1000000000,0.0027277088616524305,0.31499999999999995,0.0025389095873633496,0.31500000000000006,4.9078785860498473e-07,0.010105871944947276
0.55000000000000004,1.0000598649421504,7.6442067333718189e-06,1000000000,0.0029982306494931053,0.35149074074074077,0.0027908088959674752,0.35149074074074055,6.5146331490470386e-07,0.013507928774111333
0.59999999999999998,1.000062147623725,8.3495753823595667e-06,1000000000,0.0032716025352012802,0.38088888888888889,0.0030451159043169513,0.38088888888888911,8.453649374538509e-07,0.016403690324536202
0.65000000000000002,1.0000640011980586,8.8433748133432736e-06,1000000000,0.0035442266478008257,0.43766666666666659,0.0032989477874967961,0.43766666666666648,1.0733869689085681e-06,0.026607401984173107
0.69999999999999996,1.0000662802443596,9.5094793687381349e-06,1000000000,0.0038171354549942716,0.46296551724137935,0.0035529178963991156,0.4629655172413793,1.3397251924078669e-06,0.0246685696995943
0.75,1.0000675079531471,1.0513801523221083e-05,1000000000,0.0040898299665469125,0.4761111111111111,0.0038067315913214712,0.46306451612903254,1.6460758098295572e-06,0.03159482088599519
0.80000000000000004,1.0000677816696233,1.0639917802067783e-05,1000000000,0.0043622706019130807,0.51093333333333335,0.0040603492106752381,0.51093333333333335,1.9948518407081597e-06,0.073796697259157495
0.85000000000000009,1.0000686745524026,1.1553879513764823e-05,1000000000,0.0046348782329158154,0.53959259259259262,0.0043139166357751783,0.51971428571428546,2.390118560405898e-06,0.049056841106863369
0.90000000000000002,1.0000688862383984,1.2233328495538528e-05,1000000000,0.004907904320246249,0.64066666666666661,0.0045680743333784213,0.64066666666666672,2.8358696342638419e-06,0.099634753665583276
0.94999999999999996,1.0000686024694865,1.260775926383554e-05,1000000000,0.0051804712809631051,0.6030740740740741,0.0048220528271987837,0.60307407407407421,3.3337782334304586e-06,0.13119403875200653
1,1.0000663876060887,1.3722331743346798e-05,1000000000,0.0054520636753500763,0.65096774193548379,0.0050746885684654127,0.65096774193548379,3.8791426825427341e-06,0.10260695557073729
