blackjack_payout,decks,count,policy,count_normalization,initial_count,initial_count_per_deck,count_minimum,count_maximum,factor,bias,continuous_betting_count,spread_edge,spread_stddev,kelly_growth_at_1,kelly_growth_stddev_at_1,empirical_optimum_multiplier,empirical_optimum_growth,mean_total_wager_fraction,max_total_wager_fraction,mean_abs_fx,max_abs_fx,result_file
"1.5","2","hilo","basic","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0422500103,6.689458265504721,1.0000424648223756,1.3243128021329637e-05,0.7,1.0000490278888405,0.005447357465531401,0.6830184000000001,0.005073817301935632,0.6830184000000002,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hilo_d2/basic/results.json"
"1.5","2","hilo","full_deviations","true_count",0,0,-5,5,0.005,-0.0045688,true,0.055992932,6.917125092134403,1.0000719691870172,1.4555467159422334e-05,0.8500000000000001,1.0000748221250368,0.005737796819145254,0.9607456727272728,0.005333736187024078,0.8534238054054053,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hilo_d2/full_deviations/results.json"
"1.5","2","halves","basic","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0436573223,6.703224550061428,1.0000431369536606,1.390494150919872e-05,0.7,1.0000517512496883,0.0058202479453699696,0.6639508363636364,0.005419745831337786,0.6639508363636365,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/halves_d2/basic/results.json"
"1.5","2","halves","full_deviations","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0591748529,6.941607411023145,1.0000793745728451,1.4869043889457404e-05,0.8500000000000001,1.0000824866941,0.006129729816344437,0.941678109090909,0.005695073860984339,0.9416781090909092,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/halves_d2/full_deviations/results.json"
"1.5","2","ko","basic","running_count",0,0,-20,30,0.005,-0.0045688,true,0.0221795819,9.270137902112559,0.9999180918349182,2.4351133158106104e-05,0.5,1.0000327760682122,0.015171361573488813,0.6625872,0.014130729899332414,0.6625872000000002,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/ko_d2/basic/results.json"
"1.5","2","ko","full_deviations","running_count",0,0,-20,30,0.005,-0.0045688,true,0.0371640976,9.403392071807616,0.9999517225658107,2.567818319709677e-05,0.5,1.000058729686019,0.01570048318048436,0.5980184000000001,0.014614827640839982,0.5634495999999997,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/ko_d2/full_deviations/results.json"
"1.5","2","hiopt1","basic","true_count",0,0,-5,5,0.005,-0.0045688,true,0.037321271,6.574844161862444,1.0000316674860044,1.136969719626697e-05,0.7,1.000037302833129,0.0047173679905908265,0.5150870344827586,0.00438029883635392,0.5150870344827586,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt1_d2/basic/results.json"
"1.5","2","hiopt1","full_deviations","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0533332435,6.795644167319528,1.0000639643569913,1.2724751615636343e-05,0.95,1.0000657901143033,0.00496016366272048,0.7814760888888886,0.004603928241670232,0.7814760888888884,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt1_d2/full_deviations/results.json"
"1.5","2","hiopt2","basic","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0398189726,7.092986933139182,0.9999352385251012,2.317077677234039e-05,0.5,1.0000367442971263,0.010332745705245897,0.9791295111111109,0.009604948056161581,0.9791295111111111,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt2_d2/basic/results.json"
"1.5","2","hiopt2","full_deviations","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0551562001,7.285701757789487,0.9999853007514092,2.4132515298388736e-05,0.5,1.0000691698369313,0.010720076714034266,0.9985845714285716,0.009971114179939362,0.9985845714285716,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hiopt2_d2/full_deviations/results.json"
